Title,Address,lat,lng,level,price,location,Complete_Address,Zip_code
"Taman sari Sudirman 1BR City View (bisa cicilan 12x), Setiabudi, Jakarta Selatan","Setiabudi, Jakarta Selatan",-6.219862,106.832355,"DKI Jakarta,Jakarta Selatan,Setiabudi",72000000,"-6.219862,106.832355","Rumah Sakit MMC, Epicentrum Utama Raya, RW 05, Setiabudi, Karet Kuningan, Setiabudi, Jakarta Selatan, JKT, 12920, NKRI",12920
"Apartemen Season City Studio type, Jembatan Besi, Jakarta Barat","Jembatan Besi, Jakarta Barat",-6.153027000000001,106.79874300000006,"DKI Jakarta,Jakarta Barat,Jembatan Besi",37000000,"-6.153027000000001,106.79874300000006","SD Negeri Jembatan Besi 01-03 Pagi 02-04 Petang, Jalan Jembatan Besi IX, RW 06, Jembatan Besi, Tambora, Jakarta Barat, JKT, 11320, NKRI",11320
"Disew4kan 2 BR The Peak Sudirman, Harga Nego, Setiabudi, Jakarta Selatan","Setiabudi, Jakarta Selatan",-6.2075673,106.82690279999997,"DKI Jakarta,Jakarta Selatan,Setiabudi",336000000,"-6.2075673,106.82690279999997","Jalan Setia Budi III, RW 03, Setiabudi, Jakarta Selatan, JKT, 12980, NKRI",12980
"Rumah Cantik Siap Huni Komplek Garden House PIK ST-R462, Pantai Indah Kapuk, Jakarta Utara","Pantai Indah Kapuk, Jakarta Utara",-6.175445,106.82800429999998,"DKI Jakarta,Jakarta Utara,Pantai Indah Kapuk",150000000,"-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Apartement Thamrin Residence  Siap Huni, Tanah Abang, Jakarta Pusat","Tanah Abang, Jakarta Pusat",-6.2016391,106.81723710000006,"DKI Jakarta,Jakarta Pusat,Tanah Abang",84000000,"-6.2016391,106.81723710000006","Jalan RM Margono Djojohadikoesoemo, RT 13, RW 09, Tanah Abang, Karet Tengsin, Tanah Abang, Jakarta Pusat, JKT, 10210, NKRI",10210
"Rumah Strategis di Kemang Selatan, Kemang, Jakarta Selatan","Kemang, Jakarta Selatan",-6.266939,106.82409800000005,"DKI Jakarta,Jakarta Selatan,Kemang",495600000,"-6.266939,106.82409800000005","Gang Jawara, RW 03, Bangka, Mampang Prapatan, Jakarta Selatan, JKT, 12730, NKRI",12730
"Apartment Full Furnished Siap huni di Kemang Village  Tower Infinity, Kemang, Jakarta Selatan","Kemang, Jakarta Selatan",-6.144234,106.818577,"DKI Jakarta,Jakarta Selatan,Kemang",654012000,"-6.144234,106.818577","RW 03, Mangga Besar, Taman Sari, Jakarta Barat, JKT, 11180, NKRI",11180
"Apartemen Callia 2BR, Pulomas, Jakarta Timur","Pulomas, Jakarta Timur",-6.1752528,106.87716479999995,"DKI Jakarta,Jakarta Timur,Pulomas",55000000,"-6.1752528,106.87716479999995","RW 13, Kayu Putih, Pulo Gadung, Jakarta Timur, JKT, 10540, NKRI",10540
"Apartemen Verde 3 Bed Cantik &amp; Lux, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.216304,106.83237099999997,"DKI Jakarta,Jakarta Selatan,Kuningan",530640000,"-6.216304,106.83237099999997","Plaza Kuningan - Parking Annex, Jalan Haji Cokong, RW 10, Karet, Setiabudi, Jakarta Selatan, JKT, 12910, NKRI",12910
"Studio Full Furnish, Pulo Gadung, Jakarta Timur","Pulo Gadung, Jakarta Timur",-6.181744,106.89753999999994,"DKI Jakarta,Jakarta Timur,Pulo Gadung",28000000,"-6.181744,106.89753999999994","Jalan Kayu Putih Utara III E, RW 08, Pulo Gadung, Jakarta Timur, JKT, 13210, NKRI",13210
"For Rent Beverly Tower Apartment With 2 Bedroom, TB Simatupang, Jakarta Selatan","TB Simatupang, Jakarta Selatan",None,None,"DKI Jakarta,Jakarta Selatan,TB Simatupang",169560000,,,
"Casa Grande Residence, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.212642199999999,106.83566070000006,"DKI Jakarta,Jakarta Selatan,Kuningan",257145600,"-6.212642199999999,106.83566070000006","The Kuningan Place, lot 15, Jalan Kuningan Utama, RW 11, Guntur, Setiabudi, Jakarta Selatan, JKT, 12960, NKRI",12960
