Address,lat,lng,price,Installment,level,title,location,Complete_Address,Zip_code
"Kemang, Jakarta Selatan",-6.266939,106.82409800000005,18500000000,106160000,"DKI Jakarta,Jakarta Selatan,Kemang","Kemang- Rumah Mewah Dalam Komplek Elite, Kemang, Jakarta Selatan","-6.266939,106.82409800000005","Gang Jawara, RW 03, Bangka, Mampang Prapatan, Jakarta Selatan, JKT, 12730, NKRI",12730
"Jagakarsa, Jakarta Selatan",None,None,4500000000,25820000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Townhouse Mewah Bali Vila Style, Jagakarsa, Jakarta Selatan",,,
"Cipete, Jakarta Selatan",-6.1767642,106.8271291,11000000000,63120000,"DKI Jakarta,Jakarta Selatan,Cipete","Luxurious Townhouse Dekat Cipete Raya, Cipete, Jakarta Selatan","-6.1767642,106.8271291","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Cilandak, Jakarta Selatan",-6.284456200000001,106.79991810000001,5500000000,31560000,"DKI Jakarta,Jakarta Selatan,Cilandak","Rumah 1 lantai dalam Komplek dekat Cikal, Cilandak, Jakarta Selatan","-6.284456200000001,106.79991810000001","Jalan Tabanas, RW 13, Cilandak Barat, Cilandak, Jakarta Selatan, JKT, 12430, Indonesia",12430
"Kota Wisata, Jakarta Timur",-6.175445,106.82800429999998,1790000000,10270000,"DKI Jakarta,Jakarta Timur,Kota Wisata","Ayo dilihat, Rumah asri Siap Huni, Nego, atap baja ringan, baru renovasi, Kota Wisata, Cibubur, Kota Wisata, Jakarta Timur","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Pulogebang, Jakarta Timur",None,None,2150000000,12340000,"DKI Jakarta,Jakarta Timur,Pulogebang","Rumah Siap Huni Full Furnish  di Jakarta Timur, Pulogebang, Jakarta Timur",,,
"Pasar Minggu, Jakarta Selatan",None,None,5000000000,28690000,"DKI Jakarta,Jakarta Selatan,Pasar Minggu","rumah siap huni ..strategis di cilandak timur pasarminggu, Pasar Minggu, Jakarta Selatan",,,
"Kuningan, Jakarta Selatan",None,None,45000000000,258220000,"DKI Jakarta,Jakarta Selatan,Kuningan","rumah asri dikawasan elit di Jakarta, Kuningan, Jakarta Selatan",,,
"Duren Sawit, Jakarta Timur",None,None,2400000000,13770000,"DKI Jakarta,Jakarta Timur,Duren Sawit","Rumah Siap Huni 2.5 Lantai di Kav Marinir, Kalimalang, Pondok Kelapa, Duren Sawit, Jakarta Timur, Duren Sawit, Jakarta Timur",,,
"Summarecon Bekasi, Bekasi",None,None,3500000000,20080000,"Jawa Barat,Bekasi,Summarecon Bekasi","Rumah Cantik Renov dan Semi Furnish di Cluster Lotus, Summarecon Bekasi, Summarecon Bekasi, Bekasi",,,
"Summarecon Bekasi, Bekasi",None,None,2900000000,16640000,"Jawa Barat,Bekasi,Summarecon Bekasi","Rumah Hoek Asri dan Nyaman di Cluster Bluebell, Summarecon Bekasi, Summarecon Bekasi, Bekasi",,,
"Summarecon Bekasi, Bekasi",None,None,2700000000,15490000,"Jawa Barat,Bekasi,Summarecon Bekasi","Rumah Siap Huni 9 Premium di Cluster Maple Summarecon Bekasi, Summarecon Bekasi, Bekasi",,,
"Lebak Bulus, Jakarta Selatan",-6.175445,106.82800429999998,4700000000,26970000,"DKI Jakarta,Jakarta Selatan,Lebak Bulus","Serenia Hills - Brand New Rumah Minimalis Full Furnish Siap Huni, Lebak Bulus, Jakarta Selatan","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Summarecon Bekasi, Bekasi",None,None,1950000000,11190000,"Jawa Barat,Bekasi,Summarecon Bekasi","Rumah Rapi di Cluster Bluebell, Summarecon Bekasi Bonus Kitset, Ac dan Gorden, Summarecon Bekasi, Bekasi",,,
"Jagakarsa, Jakarta Selatan",-6.175445,106.82800429999998,2000000000,11480000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Classic Mewah Lokasi Strategis Harga Mulai 2 Milyar, Jagakarsa, Jakarta Selatan","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
